,Year,Rank,DJ Name
157,2005,15,Judge Jules
159,2005,16,Marco V
161,2005,17,Eddie Halliwell
163,2005,18,Erick Morillo
165,2005,19,Above & Beyond
167,2005,20,Sander Kleinenberg
169,2005,21,Markus Schulz
171,2005,22,Benny Benassi
173,2005,23,Sven Väth
175,2005,24,DJ Dan
177,2005,25,Danny Howells
179,2005,26,Infected Mushroom
181,2005,27,Roger Sanchez
183,2005,28,Mauro Picotto
185,2005,29,Gabriel & Dresden
187,2005,30,Steve Lawler
189,2005,31,Blank & Jones
191,2005,32,Yoji Biomehanika
193,2005,33,Chris Liebing
195,2005,34,Danny Tenaglia
197,2005,35,Nick Warren
199,2005,36,Dave Clarke
201,2005,37,James Holden
203,2005,38,Mario Piu
205,2005,39,David Guetta
207,2005,40,DJ Vibe
209,2005,41,Kai Tracid
211,2005,42,Bad Boy Bill
213,2005,43,Tall Paul
215,2005,44,Tiga
217,2005,45,DJ Yahel
219,2005,46,Andy Moor
221,2005,47,Ricardo Villalobos
223,2005,48,Ricky Stone
225,2005,49,Pete Tong
227,2005,50,Martin Garcia
229,2005,51,Frank T.R.A.X
231,2005,52,Timo Maas
233,2005,53,Laurent Garnier
235,2005,54,Desyn Masiello
237,2005,55,Victor Calderone
239,2005,56,Lisa Lashes
241,2005,57,Johan Gielen
243,2005,58,Matt Hardwick
245,2005,59,Misstress Barbara
247,2005,60,Fergie
249,2005,61,Armand Van Helden
251,2005,62,Michel De Hey
253,2005,63,Fatboy Slim
255,2005,64,Jeff Mills
257,2005,65,DJ Rush
259,2005,66,The Flash Brothers
261,2005,67,Adam Beyer
263,2005,67,Adam Beyer
265,2005,68,Donald Glaude
267,2005,69,Dave Seaman
269,2005,70,Andy C
271,2005,71,Chus & Ceballos
273,2005,72,John '00' Fleming
275,2005,73,Satoshi Tomiie
277,2005,74,DJ Tatana
279,2005,75,Astrix
281,2005,76,Lee Burridge
283,2005,77,M.I.K.E.
285,2005,78,Lady Dana
287,2005,79,Umek
289,2005,80,Nic Fanciulli
291,2005,81,Rank 1
293,2005,82,BT
295,2005,83,Anne Savage
297,2005,85,Plump DJ's
299,2005,86,Miss Kitten
301,2005,87,Felix Da Housecat
303,2005,88,Christian Cambas
305,2005,89,Scot Project
307,2005,90,Cosmic Gate
309,2005,91,Matt Darey
311,2005,92,DJ Sammy
313,2005,93,Proteus
315,2005,94,DJ Luna
317,2005,95,Moshic
319,2005,96,Max Graham
321,2005,97,DJ Amadeus
323,2005,98,Gigi D'Agostino
325,2005,99,Marco Bailey
327,2005,100,Magda
329,2006,1,Paul van Dyk
331,2006,2,Armin Van Buuren
333,2006,3,Tiësto
335,2006,4,Christopher Lawrence
337,2006,5,DJ Dan
339,2006,6,Ferry Corsten
341,2006,7,Sasha
343,2006,8,John Digweed
345,2006,9,Above & Beyond
347,2006,10,Deep Dish
349,2006,11,Carl Cox
351,2006,12,Infected Mushroom
353,2006,13,ATB
355,2006,14,Paul Oakenfold
357,2006,15,Hernan Cattaneo
359,2006,16,Judge Jules
361,2006,17,Eddie Halliwell
363,2006,18,Marco V
365,2006,19,Markus Schulz
367,2006,20,Gabriel & Dresden
369,2006,21,James Zabiela
371,2006,22,John Acquaviva
373,2006,23,Flash Brothers
375,2006,24,DJ Amadeus
377,2006,25,Erick Morillo
379,2006,26,Benny Benassi
381,2006,27,Sander Kleinenberg
383,2006,28,DJ Yahel
385,2006,29,Offer Nissim
387,2006,30,Andy Moor
389,2006,31,David Guetta
391,2006,32,Sander Van Doorn
393,2006,33,Richie Hawtin
395,2006,34,Gareth Emery
397,2006,35,Phil Kieran
399,2006,36,Nick Warren
401,2006,37,DJ Skazi
403,2006,38,Steve Lawler
405,2006,39,D-Formation
407,2006,40,Ricky Stone
409,2006,41,Astrix
411,2006,42,Roger Sanchez
413,2006,43,Bad Boy Bill
415,2006,44,Sven Väth
417,2006,45,The Thrillseekers
419,2006,46,Donald Glaude
421,2006,47,DJ Vibe
423,2006,48,Kyau & Albert
425,2006,49,Chris Liebing
427,2006,50,Tiga
429,2006,51,Matt Darey
431,2006,52,Bob Sinclair
433,2006,53,James Holden
435,2006,54,Lange
437,2006,55,Wrecked Machines
439,2006,56,Dion Mavath
441,2006,57,Pete Tong
443,2006,58,Danny Tenaglia
445,2006,59,George Acosta
447,2006,60,Blank & Jones
449,2006,61,DJ Sammy
451,2006,62,Joachim Garraud
453,2006,63,Timo Maas
455,2006,64,Matt Hardwick
457,2006,65,Frank T.R.A.X
459,2006,66,Steve Angello
461,2006,67,Danny Howells
463,2006,68,Simon Posford
465,2006,69,John Graham
467,2006,70,Desyn Masiello
469,2006,71,Mauro Picotto
471,2006,72,Menno De Jong
473,2006,73,BT
475,2006,74,Scott K
477,2006,75,Tall Paul
479,2006,76,M.I.K.E.
481,2006,77,Filo & Peri
483,2006,78,DJ Tarkan
485,2006,79,Anderson Noise
487,2006,80,Fatboy Slim
489,2006,81,Serge Devant
491,2006,82,Umek
493,2006,83,Victor Calderone
495,2006,84,Darude
497,2006,85,Fergie
499,2006,86,Tallah 2XLC
501,2006,87,Ronski Speed
503,2006,88,Lee Burridge
505,2006,89,Mario Piu
507,2006,90,Axel Karakasis
509,2006,91,Steve Porter
511,2006,92,Yoji Biomehanika
513,2006,93,Axwell
515,2006,94,Stanton Warriors
517,2006,95,Dave Seaman
519,2006,96,Robbie Rivera
521,2006,97,Andy C
523,2006,98,Agnelli & Nelson
525,2006,99,Lisa Lashes
527,2006,100,Dave Clarke
529,2007,1,Armin Van Buuren
531,2007,2,Tiësto
533,2007,3,John Digweed
535,2007,4,Paul van Dyk
537,2007,5,Sasha
539,2007,6,Above & Beyond
541,2007,7,Carl Cox
543,2007,8,Ferry Corsten
545,2007,9,Infected Mushroom
547,2007,10,David Guetta
549,2007,11,Deep Dish
551,2007,12,Paul Oakenfold
553,2007,13,Markus Schulz
555,2007,14,Hernan Cattaneo
557,2007,15,Sander Van Doorn
559,2007,16,Eddie Halliwell
561,2007,17,James Zabiela
563,2007,18,Astrix
565,2007,19,Richie Hawtin
567,2007,20,Marco V
569,2007,21,Judge Jules
571,2007,22,Fedde Le Grand
573,2007,23,Gabriel & Dresden
575,2007,24,Erick Morillo
577,2007,25,Roger Sanchez
579,2007,26,ATB
581,2007,27,Sven Väth
583,2007,28,Yahel
585,2007,29,Umek
587,2007,30,Andy Moor
589,2007,31,Gareth Emery
591,2007,32,Benny Benassi
593,2007,33,Axwell
595,2007,34,Mauro Picotto
597,2007,35,Sander Kleinenberg
599,2007,36,Eric Prydz
601,2007,37,Blank & Jones
603,2007,38,Bad Boy Bill
605,2007,39,Pete Tong
607,2007,40,DJ Vibe
609,2007,41,Tiga
611,2007,42,Steve Lawler
613,2007,43,Danny Tenaglia
615,2007,44,Ronski Speed
617,2007,45,Nic Fanciulli
619,2007,46,Steve Angello
621,2007,47,Nick Warren
623,2007,48,Matt Hardwick
625,2007,49,Ricardo Villalobos
627,2007,50,James Holden
629,2007,51,Mark Knight
631,2007,53,Marco Bailey
633,2007,54,Anderson Noise
635,2007,55,Lange
637,2007,56,Offer Nissim
639,2007,57,Kyau & Albert
641,2007,58,Justice
643,2007,60,Timo Maas
645,2007,61,Danny Howells
647,2007,62,Menno De Jong
649,2007,63,Bob Sinclair
651,2007,64,John Acquaviva
653,2007,65,Agnelli & Nelson
655,2007,66,Fatboy Slim
657,2007,67,Andy C
659,2007,68,Ricky Stone
661,2007,69,Donald Glaude
663,2007,70,Desyn Masiello
665,2007,71,Daft Punk
667,2007,72,Martin Solveig
669,2007,73,BT
671,2007,74,Chris Liebing
673,2007,75,Valentino Kanzyani
675,2007,76,Trentemøller
677,2007,77,Jeff Mills
679,2007,78,John Graham
681,2007,79,Robbie Rivera
683,2007,80,The Chemical Brothers
685,2007,81,Luciano
687,2007,82,Hype
689,2007,83,Lisa Lashes
691,2007,84,Filo & Peri
693,2007,85,Lee Burridge
695,2007,86,Armand Van Helden
697,2007,87,Magda
699,2007,88,Dave Seaman
701,2007,89,Victor Calderone
703,2007,90,Dave Clarke
705,2007,91,Richard Durand
707,2007,92,Westbam
709,2007,93,Sébastien Léger
711,2007,94,Chus & Ceballos
713,2007,95,Wally Lopez
715,2007,97,Adam Beyer
717,2007,99,Erol Alkan
719,2007,100,Laurent Garnier
721,2008,1,Armin Van Buuren
723,2008,2,Tiësto
725,2008,3,Paul van Dyk
727,2008,4,Above & Beyond
729,2008,5,David Guetta
731,2008,6,Ferry Corsten
733,2008,7,Sasha
735,2008,8,Markus Schulz
737,2008,9,John Digweed
739,2008,10,Infected Mushroom
741,2008,11,Deadmau5
743,2008,12,Carl Cox
745,2008,13,Sander Van Doorn
747,2008,14,Paul Oakenfold
749,2008,15,Richie Hawtin
751,2008,16,Hernan Cattaneo
753,2008,17,James Zabiela
755,2008,18,Andy Moor
757,2008,19,Eddie Halliwell
759,2008,20,Axwell
761,2008,21,Eric Prydz
763,2008,22,Kyau & Albert
765,2008,23,Gareth Emery
767,2008,24,Sven Väth
769,2008,25,ATB
771,2008,26,Anderson Noise
773,2008,27,Joachim Garraud
775,2008,28,Bobina
777,2008,29,Fedde Le Grand
779,2008,30,Dubfire
781,2008,31,Aly & Fila
783,2008,32,Judge Jules
785,2008,33,Umek
787,2008,34,Matt Darey
789,2008,35,Ricky Stone
791,2008,36,Ricardo Villalobos
793,2008,37,Lange
795,2008,38,Daft Punk
797,2008,39,Benny Benassi
799,2008,40,Bob Sinclair
801,2008,41,Deep Dish
803,2008,42,Mark Knight
805,2008,43,Astrix
807,2008,44,Marco V
809,2008,45,The Thrillseekers
811,2008,46,Laidback Luke
813,2008,47,Danny Tenaglia
815,2008,48,Menno De Jong
817,2008,49,Marco Lenzi
819,2008,50,Andy C
821,2008,51,Offer Nissim
823,2008,52,Martin Solveig
825,2008,53,Adam Sheridan
827,2008,54,Sean Tyas
829,2008,55,DJ Feel
831,2008,56,Yahel
833,2008,57,Roger Sanchez
835,2008,58,DJ Shah
837,2008,59,Sander Kleinenberg
839,2008,60,John O'Callaghan
841,2008,61,Blank & Jones
843,2008,62,Cosmic Gate
845,2008,63,Steve Angello
847,2008,64,Simon Patterson
849,2008,65,Gabriel & Dresden
851,2008,66,Richard Durand
853,2008,67,Laurent Wolf
855,2008,68,Matt Hardwick
857,2008,69,Chris Liebing
859,2008,70,Erick Morillo
861,2008,71,DJ Hype
863,2008,72,Signum
865,2008,73,Justice
867,2008,74,Dirty South
869,2008,75,Wally Lopez
871,2008,76,Magda
873,2008,77,Lisa Lashes
875,2008,78,Pete Tong
877,2008,79,DJ Vibe
879,2008,80,Bad Boy Bill
881,2008,81,Tiddey
883,2008,82,Greg Downey
885,2008,83,Marcel Woods
887,2008,84,Nick Warren
889,2008,85,Solar System
891,2008,86,Skazi
893,2008,87,Mike Koglin
895,2008,88,Mauro Picotto
897,2008,89,Sébastien Léger
899,2008,90,The Chemical Brothers
901,2008,91,Steve Lawler
903,2008,92,Fatboy Slim
905,2008,93,Solarstone
907,2008,94,Astral Projection
909,2008,95,Leon Bolier
911,2008,96,Nic Fanciulli
913,2008,97,Ronski Speed
915,2008,98,Tocadisco
917,2008,99,Booka Shade
919,2008,100,Alex Morph & Woody Van Eyden
921,2009,1,Armin Van Buuren
923,2009,2,Tiësto
925,2009,3,David Guetta
927,2009,4,Above & Beyond
929,2009,5,Paul van Dyk
931,2009,6,Deadmau5
933,2009,7,Ferry Corsten
935,2009,8,Markus Schulz
937,2009,9,Gareth Emery
939,2009,10,Sander Van Doorn
941,2009,11,ATB
943,2009,12,Infected Mushroom
945,2009,13,Sasha
947,2009,14,Axwell
949,2009,15,Andy Moor
951,2009,16,Bobina
953,2009,17,John Digweed
955,2009,18,Carl Cox
957,2009,19,Cosmic Gate
959,2009,20,Steve Angello
961,2009,21,Roger Shah
963,2009,22,Aly & Fila
965,2009,23,Paul Oakenfold
967,2009,24,John O'Callaghan
969,2009,25,Sebastian Ingrosso
971,2009,26,Benny Benassi
973,2009,27,Laidback Luke
975,2009,28,Richie Hawtin
977,2009,29,Fedde Le Grand
979,2009,30,DJ Feel
981,2009,31,Lange
983,2009,32,Hernan Cattaneo
985,2009,33,Daft Punk
987,2009,34,Eric Prydz
989,2009,35,Bob Sinclair
991,2009,36,Joachim Garraud
993,2009,37,Kyau & Albert
995,2009,38,James Zabiela
997,2009,39,Umek
999,2009,40,Christopher Lawrence
1001,2009,41,Eddie Halliwell
1003,2009,42,Simon Patterson
1005,2009,43,Offer Nissim
1007,2009,44,Judge Jules
1009,2009,45,Sean Tyas
1011,2009,46,Dubfire
1013,2009,47,Martin Solveig
1015,2009,48,Sven Väth
1017,2009,49,Richard Durand
1019,2009,50,Marco V
1021,2009,51,Kaskade
1023,2009,52,tyDi
1025,2009,53,Erick Morillo
1027,2009,54,Matt Darey
1029,2009,55,Astrix
1031,2009,56,Menno De Jong
1033,2009,57,The Thrillseekers
1035,2009,58,Nick Warren
1037,2009,59,Dirty South
1039,2009,60,Roger Sanchez
1041,2009,61,Mark Knight
1043,2009,62,Wally Lopez
1045,2009,63,Leon Bolier
1047,2009,64,Blank & Jones
1049,2009,65,Justice
1051,2009,66,Laurent Wolf
1053,2009,67,Astral Projection
1055,2009,68,Boys Noize
1057,2009,69,Ronski Speed
1059,2009,70,Sander Kleinenberg
1061,2009,71,Ricardo Villalobos
1063,2009,72,Chuckie
1065,2009,73,Sharam
1067,2009,74,Marcel Woods
1069,2009,75,Lisa Lashes
1071,2009,76,Moonbeam
1073,2009,77,Rank 1
1075,2009,78,Sébastien Léger
1077,2009,79,Marcus Schossow
1079,2009,80,Steve Lawler
1081,2009,81,Skazi
1083,2009,82,Super8 & Tab
1085,2009,83,Pete Tong
1087,2009,84,Tocadisco
1089,2009,85,Sied Van Riel
1091,2009,86,Tiga
1093,2009,87,Daniel Kandi
1095,2009,88,Mike Koglin
1097,2009,89,Luciano
1099,2009,90,Yahel
1101,2009,91,Myon & Shane 54
1103,2009,92,John B
1105,2009,93,Simon Posford
1107,2009,94,Fatboy Slim
1109,2009,95,Robbie Rivera
1111,2009,96,Antoine Clamaran
1113,2009,97,Nic Fanciulli
1115,2009,98,Gui Boratto
1117,2009,99,Alex M.O.R.P.H.
1119,2009,100,Andy C
1121,2010,1,Armin Van Buuren
1123,2010,2,David Guetta
1125,2010,3,Tiësto
1127,2010,4,Deadmau5
1129,2010,5,Above & Beyond
1131,2010,6,Paul van Dyk
1133,2010,7,Gareth Emery
1135,2010,8,Markus Schulz
1137,2010,9,Ferry Corsten
1139,2010,10,Axwell
1141,2010,11,ATB
1143,2010,12,Sander Van Doorn
1145,2010,13,Infected Mushroom
1147,2010,14,Steve Angello
1149,2010,15,Dash Berlin
1151,2010,16,Sebastian Ingrosso
1153,2010,17,Laidback Luke
1155,2010,18,Judge Jules
1157,2010,19,Afrojack
1159,2010,20,Aly & Fila
1161,2010,21,Fedde Le Grand
1163,2010,22,Carl Cox
1165,2010,23,Swedish House Mafia
1167,2010,24,Cosmic Gate
1169,2010,25,Bobina
1171,2010,26,Benny Benassi
1173,2010,27,Sasha
1175,2010,28,Simon Patterson
1177,2010,29,John Digweed
1179,2010,30,Eric Prydz
1181,2010,31,Richie Hawtin
1183,2010,32,Andy Moor
1185,2010,33,John O'Callaghan
1187,2010,34,Roger Shah
1189,2010,35,Kaskade
1191,2010,36,Headhunterz
1193,2010,37,Chuckie
1195,2010,38,Bob Sinclair
1197,2010,39,Avicii
1199,2010,40,Kyau & Albert
1201,2010,41,DJ Feel
1203,2010,42,Moonbeam
1205,2010,43,Joachim Garraud
1207,2010,44,Daft Punk
1209,2010,45,Lange
1211,2010,46,Sean Tyas
1213,2010,47,Eddie Halliwell
1215,2010,48,Erick Morillo
1217,2010,49,James Zabiela
1219,2010,50,Umek
1221,2010,51,Paul Oakenfold
1223,2010,52,Matt Darey
1225,2010,53,Mark Knight
1227,2010,54,Richard Durand
1229,2010,55,Martin Solveig
1231,2010,56,tyDi
1233,2010,57,Hernan Cattaneo
1235,2010,58,Sven Väth
1237,2010,59,Astrix
1239,2010,60,Super8 & Tab
1241,2010,61,Andy C
1243,2010,62,Myon & Shane 54
1245,2010,63,Marcel Woods
1247,2010,64,Roger Sanchez
1249,2010,65,Wally Lopez
1251,2010,66,Mat Zo
1253,2010,67,Marco V
1255,2010,68,Leon Bolier
1257,2010,69,Ronski Speed
1259,2010,70,Wolfgang Gartner
1261,2010,71,W&W
1263,2010,72,Boys Noize
1265,2010,73,D-Block & S-te-Fan
1267,2010,74,Dubfire
1269,2010,75,Dirty South
1271,2010,76,John B
1273,2010,77,Daniel Kandi
1275,2010,78,Arty
1277,2010,79,BT
1279,2010,80,Boy George
1281,2010,81,Pete Tha Zouk
1283,2010,82,Fatboy Slim
1285,2010,83,Skazi
1287,2010,84,Paul Kalkbrenner
1289,2010,85,Pete Tong
1291,2010,86,Bloody Beetroots
1293,2010,87,Arnej
1295,2010,88,Joris Voorn
1297,2010,89,Dada Life
1299,2010,90,Noisecontrollers
1301,2010,91,Showtek
1303,2010,92,Laurent Wolf
1305,2010,93,Claudia Cazacu
1307,2010,94,Calvin Harris
1309,2010,95,Luciano
1311,2010,96,Marcus Schossow
1313,2010,97,Sied Van Riel
1315,2010,98,The Thrillseekers
1317,2010,99,Justice
1319,2010,100,DJ Vibe
1321,2011,1,David Guetta
1323,2011,2,Armin Van Buuren
1325,2011,3,Tiësto
1327,2011,4,Deadmau5
1329,2011,5,Above & Beyond
1331,2011,6,Avicii
1333,2011,7,Afrojack
1335,2011,8,Dash Berlin
1337,2011,9,Markus Schulz
1339,2011,10,Swedish House Mafia
1341,2011,11,Paul van Dyk
1343,2011,12,Axwell
1345,2011,13,Gareth Emery
1347,2011,14,Fedde Le Grand
1349,2011,15,ATB
1351,2011,16,Sander Van Doorn
1353,2011,17,Headhunterz
1355,2011,18,Ferry Corsten
1357,2011,19,Skrillex
1359,2011,20,Laidback Luke
1361,2011,21,Infected Mushroom
1363,2011,22,Aly & Fila
1365,2011,23,Steve Angello
1367,2011,24,Hardwell
1369,2011,25,Arty
1371,2011,26,Sebastian Ingrosso
1373,2011,27,Benny Benassi
1375,2011,28,Daft Punk
1377,2011,29,Martin Solveig
1379,2011,30,Kaskade
1381,2011,31,Carl Cox
1383,2011,32,Chuckie
1385,2011,33,Bob Sinclair
1387,2011,34,Calvin Harris
1389,2011,35,Noisecontrollers
1391,2011,36,W&W
1393,2011,37,Pete Tha Zouk
1395,2011,38,Dada Life
1397,2011,39,Angerfist
1399,2011,40,D-Block & S-te-Fan
1401,2011,41,Coone
1403,2011,42,Steve Aoki
1405,2011,43,Cosmic Gate
1407,2011,44,Bobina
1409,2011,45,Richie Hawtin
1411,2011,46,Eric Prydz
1413,2011,47,Zatox
1415,2011,48,tyDi
1417,2011,49,Orjan Nilsen
1419,2011,50,Andy Moor
1421,2011,51,Roger Shah
1423,2011,52,John O'Callaghan
1425,2011,53,Astrix
1427,2011,54,Erick Morillo
1429,2011,55,John Digweed
1431,2011,56,Wolfgang Gartner
1433,2011,57,DJ Feel
1435,2011,58,Showtek
1437,2011,59,Richard Durand
1439,2011,60,Umek
1441,2011,61,Skazi
1443,2011,62,Paul Kalkbrenner
1445,2011,63,Sasha
1447,2011,64,Eddie Halliwell
1449,2011,65,Moonbeam
1451,2011,66,Myon & Shane 54
1453,2011,67,Judge Jules
1455,2011,68,Matt Darey
1457,2011,69,Paul Oakenfold
1459,2011,70,Alesso
1461,2011,71,Mark Knight
1463,2011,72,Sean Tyas
1465,2011,73,Mat Zo
1467,2011,74,Lange
1469,2011,75,Joachim Garraud
1471,2011,76,Simon Patterson
1473,2011,77,Francis Davila
1475,2011,78,Psyko Punkz
1477,2011,79,Dimitri Vegas & Like Mike
1479,2011,80,Wildstylez
1481,2011,81,Roger Sanchez
1483,2011,82,Hernan Cattaneo
1485,2011,83,Tritonal
1487,2011,84,DJ Vibe
1489,2011,85,AN21
1491,2011,86,Bloody Beetroots
1493,2011,87,Felguk
1495,2011,88,Nero
1497,2011,89,Juanjo Martin
1499,2011,90,Boy George
1501,2011,91,Tenishia
1503,2011,92,Sidney Samson
1505,2011,93,Dirty South
1507,2011,94,James Zabiela
1509,2011,95,Marcel Woods
1511,2011,96,Porter Robinson
1513,2011,97,Sven Väth
1515,2011,98,Brennan Heart
1517,2011,99,Leon Bolier
1519,2011,100,Boys Noize
1521,2012,1,Armin Van Buuren
1523,2012,2,Tiësto
1525,2012,3,Avicii
1527,2012,4,David Guetta
1529,2012,5,Deadmau5
1531,2012,6,Hardwell
1533,2012,7,Dash Berlin
1535,2012,8,Above & Beyond
1537,2012,9,Afrojack
1539,2012,10,Skrillex
1541,2012,11,Headhunterz
1543,2012,12,Swedish House Mafia
1545,2012,13,Markus Schulz
1547,2012,14,Gareth Emery
1549,2012,15,Steve Aoki
1551,2012,16,Paul van Dyk
1553,2012,17,Nicky Romero
1555,2012,18,Sander Van Doorn
1557,2012,19,Aly & Fila
1559,2012,20,Alesso
1561,2012,21,ATB
1563,2012,22,Ferry Corsten
1565,2012,23,Axwell
1567,2012,24,Dada Life
1569,2012,25,W&W
1571,2012,26,Fedde Le Grand
1573,2012,27,Noisecontrollers
1575,2012,28,Arty
1577,2012,29,Laidback Luke
1579,2012,30,Kaskade
1581,2012,31,Calvin Harris
1583,2012,32,Orjan Nilsen
1585,2012,33,Knife Party
1587,2012,34,Sebastian Ingrosso
1589,2012,35,Chuckie
1591,2012,36,Zatox
1593,2012,37,Coone
1595,2012,38,Dimitri Vegas & Like Mike
1597,2012,39,Cosmic Gate
1599,2012,40,Porter Robinson
1601,2012,41,Wildstylez
1603,2012,42,Angerfist
1605,2012,43,Infected Mushroom
1607,2012,44,Daft Punk
1609,2012,45,Carl Cox
1611,2012,46,Nervo
1613,2012,47,Pete Tha Zouk
1615,2012,48,Martin Solveig
1617,2012,49,Brennan Heart
1619,2012,50,Tenishia
1621,2012,51,Zedd
1623,2012,52,Eric Prydz
1625,2012,53,Bobina
1627,2012,54,Madeon
1629,2012,55,John O'Callaghan
1631,2012,56,DJ Feel
1633,2012,57,Steve Angello
1635,2012,58,Omnia
1637,2012,59,Umek
1639,2012,60,Wolfgang Gartner
1641,2012,61,AN21
1643,2012,62,Tommy Trash
1645,2012,63,Francis Davila
1647,2012,64,D-Block & S-te-Fan
1649,2012,65,Tritonal
1651,2012,66,Bingo Players
1653,2012,67,Psyko Punkz
1655,2012,68,Shogun
1657,2012,69,Paul Oakenfold
1659,2012,70,Benny Benassi
1661,2012,71,tyDi
1663,2012,72,Mat Zo
1665,2012,73,R3hab
1667,2012,74,MOSIMANN
1669,2012,75,Wasted Penguinz
1671,2012,76,Dirty South
1673,2012,77,Andrew Rayel
1675,2012,78,Richie Hawtin
1677,2012,79,Frontliner
1679,2012,80,Myon & Shane 54
1681,2012,81,Heatbeat
1683,2012,82,Thomas Gold
1685,2012,83,Nero
1687,2012,84,Roger Shah
1689,2012,85,Feed Me
1691,2012,86,Mike Candys
1693,2012,87,Andy Moor
1695,2012,88,Ran-D
1697,2012,89,Richard Durand
1699,2012,90,Felguk
1701,2012,91,Paul Kalkbrenner
1703,2012,92,Moonbeam
1705,2012,93,Sean Tyas
1707,2012,94,Bob Sinclair
1709,2012,95,Netsky
1711,2012,96,Neelix
1713,2012,97,Mark Knight
1715,2012,98,John Digweed
1717,2012,99,Da Tweekaz
1719,2012,100,Project 46
1721,2013,1,Hardwell
1723,2013,2,Armin Van Buuren
1725,2013,3,Avicii
1727,2013,4,Tiësto
1729,2013,5,David Guetta
1731,2013,6,Dimitri Vegas & Like Mike
1733,2013,7,Nicky Romero
1735,2013,8,Steve Aoki
1737,2013,9,Afrojack
1739,2013,10,Dash Berlin
1741,2013,11,Skrillex
1743,2013,12,Deadmau5
1745,2013,13,Alesso
1747,2013,14,W&W
1749,2013,15,Calvin Harris
1751,2013,16,Nervo
1753,2013,17,Above & Beyond
1755,2013,18,Sebastian Ingrosso
1757,2013,19,Axwell
1759,2013,20,Aly & Fila
1761,2013,21,Markus Schulz
1763,2013,22,Daft Punk
1765,2013,23,Headhunterz
1767,2013,24,Zedd
1769,2013,25,Knife Party
1771,2013,26,Swedish House Mafia
1773,2013,27,Showtek
1775,2013,28,Andrew Rayel
1777,2013,29,Fedde Le Grand
1779,2013,30,Dyro
1781,2013,31,Laidback Luke
1783,2013,32,Paul van Dyk
1785,2013,33,ATB
1787,2013,34,Angerfist
1789,2013,35,Dada Life
1791,2013,36,Kaskade
1793,2013,37,Frontliner
1795,2013,38,Steve Angello
1797,2013,39,Sander Van Doorn
1799,2013,40,Martin Garrix
1801,2013,41,Porter Robinson
1803,2013,42,Ferry Corsten
1805,2013,43,Chuckie
1807,2013,44,Krewella
1809,2013,45,Coone
1811,2013,46,Carl Cox
1813,2013,47,Bobina
1815,2013,48,Omnia
1817,2013,49,Orjan Nilsen
1819,2013,50,Zatox
1821,2013,51,Gareth Emery
1823,2013,52,Bingo Players
1825,2013,53,Infected Mushroom
1827,2013,54,Eric Prydz
1829,2013,55,Tommy Trash
1831,2013,56,Wildstylez
1833,2013,57,Arty
1835,2013,58,R3hab
1837,2013,59,Madeon
1839,2013,60,Vicetone
1841,2013,61,Brennan Heart
1843,2013,62,DJ Feel
1845,2013,63,Gunz For Hire
1847,2013,64,Diplo
1849,2013,65,Tenishia
1851,2013,66,Noisecontrollers
1853,2013,67,Mike Candys
1855,2013,68,Antoine
